Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
84,0.392811,0.876200,1.105625,0.674600,0.062434,916.2557
85,0.384784,0.879380,1.103340,0.684900,0.061672,929.3757
86,0.382269,0.880800,0.982554,0.699700,0.060907,929.7332
87,0.378731,0.881260,1.028379,0.695400,0.060139,931.4430
88,0.366973,0.884400,1.072873,0.685600,0.059369,930.9120
89,0.348570,0.891240,1.049346,0.694500,0.058596,932.8532
90,0.361206,0.886720,1.057213,0.694300,0.057822,930.4619
91,0.341134,0.894760,1.009780,0.708100,0.057045,931.2713
92,0.342732,0.893480,1.001082,0.711700,0.056267,928.4087
93,0.338350,0.896220,1.112596,0.675700,0.055487,930.1860
94,0.345062,0.892260,1.075116,0.693500,0.054705,928.7284
95,0.325775,0.900020,0.995379,0.717600,0.053923,932.1239
96,0.331721,0.896240,1.063501,0.687500,0.053140,930.6880
97,0.327651,0.897780,1.123824,0.688600,0.052355,932.0686
98,0.327002,0.898600,1.034665,0.695500,0.051571,931.8217
99,0.319532,0.901020,0.993927,0.708100,0.050785,932.0909
100,0.309628,0.905840,1.020502,0.695900,0.050000,931.2273
101,0.303833,0.906800,1.047021,0.698400,0.049215,932.4052
102,0.305848,0.905580,1.002413,0.706400,0.048429,933.6907
103,0.292810,0.910440,1.011482,0.706100,0.047645,937.2878
104,0.288089,0.913520,1.057703,0.701700,0.046860,937.5260
105,0.281868,0.914380,1.039948,0.703500,0.046077,937.5322
106,0.278362,0.915020,1.062440,0.700900,0.045295,937.3967
107,0.280752,0.914360,0.989586,0.718500,0.044513,939.2287
108,0.270044,0.917960,1.007451,0.708300,0.043733,938.1572
109,0.259594,0.922980,1.098128,0.695700,0.042955,832.7523
110,0.261282,0.922300,0.915983,0.726700,0.042178,881.9925
111,0.261142,0.919100,0.971309,0.716300,0.041404,885.4964
112,0.253813,0.922980,0.978352,0.710500,0.040631,883.1814
113,0.251802,0.924680,0.949659,0.726800,0.039861,883.0938
114,0.247391,0.925840,1.039735,0.709000,0.039093,886.6527
115,0.231667,0.931720,0.898290,0.738800,0.038328,825.4678
116,0.231097,0.930920,0.933535,0.728400,0.037566,827.0428
117,0.231891,0.931640,0.967969,0.723600,0.036806,826.8740
118,0.226297,0.932260,0.963794,0.723500,0.036050,826.2466
119,0.219652,0.935440,0.981920,0.716300,0.035298,825.4246
120,0.220284,0.933420,0.899664,0.738500,0.034549,825.2828
121,0.211623,0.937600,0.941946,0.736900,0.033804,825.6541
