Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
0,1.203559,0.423280,1.933141,0.314900,0.100000,924.9974
1,0.800852,0.630680,0.937394,0.588400,0.099994,926.6900
2,0.625016,0.719820,0.708676,0.704800,0.099975,927.0914
3,0.532354,0.762740,0.707930,0.699100,0.099944,926.7499
4,0.470409,0.792060,0.520327,0.776300,0.099901,927.3381
5,0.436021,0.805780,0.469677,0.790800,0.099846,925.0882
6,0.397340,0.823880,0.435524,0.809300,0.099778,926.5631
7,0.374837,0.833640,0.370429,0.837200,0.099698,925.8337
8,0.350165,0.845540,0.548299,0.779800,0.099606,928.4484
9,0.334133,0.852400,0.402627,0.825100,0.099501,927.1278
10,0.324987,0.857460,0.409557,0.817800,0.099384,926.5053
11,0.308582,0.863020,0.530217,0.759900,0.099255,853.5045
12,0.296946,0.868620,0.376129,0.837100,0.099114,854.1760
13,0.288995,0.872160,0.541183,0.770700,0.098961,855.1066
14,0.284781,0.873180,0.350271,0.844300,0.098796,854.9486
15,0.280242,0.875620,0.445189,0.815300,0.098618,838.7944
16,0.269973,0.880000,0.375914,0.840600,0.098429,854.4802
17,0.263724,0.884000,0.407645,0.825500,0.098228,835.3475
18,0.257025,0.886480,0.363395,0.843400,0.098015,848.0329
19,0.253002,0.888180,0.300333,0.867600,0.097790,848.0869
20,0.247910,0.890660,0.360163,0.848700,0.097553,848.4642
21,0.243336,0.891600,0.330275,0.856900,0.097304,863.0306
22,0.239357,0.892840,0.352076,0.849300,0.097044,866.7792
23,0.241151,0.894000,0.297387,0.873600,0.096772,868.4107
24,0.237335,0.894820,0.402989,0.823800,0.096489,867.1108
25,0.228016,0.899660,0.303710,0.866900,0.096194,867.6187
26,0.229969,0.898920,0.340799,0.857100,0.095888,865.7013
27,0.222342,0.901560,0.305520,0.872100,0.095570,866.3475
28,0.222207,0.901680,0.313536,0.867500,0.095241,866.3649
29,0.220304,0.902760,0.417096,0.830600,0.094901,866.9205
30,0.218965,0.904620,0.283046,0.880300,0.094550,866.1234
31,0.216225,0.905560,0.341510,0.853200,0.094188,867.0906
32,0.209411,0.908520,0.299807,0.868900,0.093815,866.8148
33,0.208882,0.908540,0.252944,0.890400,0.093432,866.4210
34,0.207345,0.908660,0.326259,0.866200,0.093037,866.2214
35,0.202732,0.911040,0.316430,0.864500,0.092632,866.0519
36,0.202519,0.911720,0.248704,0.896100,0.092216,866.9746
37,0.206385,0.908460,0.375596,0.841500,0.091790,866.7635
38,0.196470,0.914020,0.311296,0.867200,0.091354,866.4873
39,0.202781,0.910640,0.325304,0.862500,0.090907,865.5643
40,0.192691,0.915340,0.317085,0.870500,0.090451,865.1867
41,0.192607,0.916280,0.300120,0.873700,0.089984,866.1769
42,0.193964,0.915400,0.274586,0.885400,0.089508,854.5004
43,0.187569,0.918680,0.276149,0.883500,0.089022,853.7531
44,0.186986,0.918600,0.275055,0.884400,0.088526,853.5980
45,0.183173,0.920000,0.329177,0.867000,0.088020,853.2523
46,0.184098,0.919600,0.226543,0.905100,0.087506,852.5650
47,0.182702,0.920580,0.308468,0.869200,0.086982,854.1111
48,0.176760,0.922320,0.303842,0.873100,0.086448,853.1324
49,0.178545,0.921660,0.250134,0.893300,0.085906,853.5717
50,0.178143,0.922680,0.272802,0.884500,0.085355,852.5973
51,0.177423,0.921980,0.523625,0.794000,0.084796,853.8556
52,0.173657,0.923600,0.364976,0.846500,0.084227,853.2185
53,0.174286,0.923980,0.237205,0.893300,0.083651,854.2066
54,0.171287,0.924960,0.428937,0.830900,0.083066,852.4980
55,0.169323,0.926720,0.334133,0.860100,0.082472,851.7091
56,0.168235,0.926280,0.232090,0.901200,0.081871,853.7613
57,0.166972,0.927520,0.251625,0.897200,0.081262,855.2083
58,0.163613,0.929020,0.266155,0.888300,0.080645,861.5708
59,0.163192,0.929800,0.272659,0.881200,0.080021,861.3377
60,0.166436,0.927360,0.376360,0.855700,0.079389,855.3099
61,0.160370,0.929620,0.273602,0.884200,0.078750,861.0099
62,0.159068,0.931240,0.221668,0.903100,0.078104,861.6922
63,0.161311,0.930340,0.209287,0.912700,0.077451,862.8937
64,0.158096,0.931260,0.229939,0.899600,0.076791,862.4520
65,0.155788,0.932420,0.210048,0.909900,0.076125,862.4760
66,0.156198,0.931220,0.230852,0.904500,0.075452,867.2522
67,0.156036,0.931140,0.233675,0.898500,0.074773,866.3235
68,0.150299,0.934840,0.220428,0.906100,0.074088,867.2994
69,0.147707,0.935160,0.217398,0.907200,0.073396,867.5118
70,0.147716,0.936140,0.254201,0.891200,0.072700,819.8034
71,0.147033,0.936300,0.261696,0.888400,0.071997,820.8813
72,0.146478,0.936100,0.242662,0.897400,0.071289,821.1245
73,0.143919,0.937480,0.257823,0.891500,0.070576,821.3730
74,0.144385,0.937680,0.212735,0.911900,0.069857,820.4280
75,0.141851,0.938980,0.308706,0.874500,0.069134,820.6965
76,0.141358,0.938860,0.232498,0.906100,0.068406,820.6643
77,0.139712,0.939600,0.231582,0.904200,0.067674,820.6388
78,0.139255,0.939480,0.203623,0.913700,0.066937,820.4552
79,0.135525,0.941600,0.234694,0.898300,0.066196,895.3001
80,0.137743,0.939560,0.193300,0.915200,0.065451,894.7452
81,0.137111,0.940240,0.228530,0.902500,0.064702,892.9882
82,0.132619,0.941520,0.357647,0.858500,0.063950,894.3996
83,0.128712,0.943800,0.291546,0.877700,0.063194,894.1367
84,0.131786,0.941660,0.247694,0.897700,0.062434,894.4603
85,0.124712,0.946240,0.228405,0.907200,0.061672,895.6908
86,0.132670,0.942340,0.252047,0.894400,0.060907,894.1221
87,0.126532,0.943780,0.182911,0.921900,0.060139,892.2117
88,0.124332,0.945860,0.189752,0.920400,0.059369,893.4043
89,0.121730,0.947880,0.177204,0.923200,0.058596,892.3344
90,0.120372,0.946960,0.190464,0.918700,0.057822,892.1837
91,0.119400,0.948580,0.245898,0.895800,0.057045,892.1918
92,0.115813,0.950060,0.179096,0.925000,0.056267,892.5241
93,0.121403,0.947820,0.196100,0.915400,0.055487,893.2760
94,0.115109,0.949580,0.232068,0.906300,0.054705,894.0581
95,0.117153,0.950340,0.239764,0.900300,0.053923,892.9101
96,0.115409,0.950100,0.244090,0.901300,0.053140,893.0170
97,0.115528,0.950020,0.171311,0.928100,0.052355,893.9733
98,0.104199,0.955020,0.174332,0.926300,0.051571,893.5130
98,0.104199,0.955020,0.174332,0.926300,0.051571,886.3118
99,0.109096,0.951940,0.230360,0.904500,0.050785,886.6875
100,0.111628,0.951980,0.189701,0.920600,0.050000,858.0447
101,0.104623,0.954920,0.176365,0.924700,0.049215,879.8808
102,0.105677,0.954220,0.271193,0.885500,0.048429,877.9910
103,0.104328,0.955060,0.175086,0.925800,0.047645,880.3136
104,0.099122,0.957580,0.196297,0.917500,0.046860,880.2842
104,0.099122,0.957580,0.196297,0.917500,0.046860,814.1578
105,0.104104,0.955460,0.250515,0.893800,0.046077,816.2239
106,0.097908,0.957720,0.187043,0.922100,0.045295,816.1996
107,0.100825,0.956220,0.173161,0.927000,0.044513,816.1751
108,0.094776,0.958980,0.199430,0.916200,0.043733,816.0946
109,0.094016,0.959300,0.184399,0.921800,0.042955,816.1376
110,0.093419,0.960460,0.273499,0.891100,0.042178,816.2436
111,0.094165,0.959620,0.217273,0.912700,0.041404,816.8120
112,0.089351,0.961940,0.152061,0.937800,0.040631,816.2429
113,0.089450,0.962080,0.193462,0.922600,0.039861,857.8704
114,0.089278,0.962020,0.172170,0.928500,0.039093,863.6571
115,0.087915,0.962420,0.187650,0.922400,0.038328,864.0480
116,0.086423,0.962440,0.218465,0.908500,0.037566,864.4704
117,0.083015,0.964420,0.158826,0.934000,0.036806,863.8047
118,0.082955,0.964120,0.179850,0.927300,0.036050,863.5776
119,0.080660,0.965360,0.151886,0.937600,0.035298,863.2636
120,0.079662,0.965960,0.187960,0.921400,0.034549,901.5394
121,0.077638,0.967140,0.163388,0.932600,0.033804,910.9368
122,0.077120,0.967000,0.154957,0.937500,0.033063,910.6572
123,0.074462,0.968560,0.160237,0.935500,0.032326,910.0831
124,0.073013,0.969660,0.160995,0.933200,0.031594,909.8975
125,0.072411,0.968620,0.174185,0.929800,0.030866,898.2388
126,0.072021,0.968920,0.153400,0.936200,0.030143,905.0239
127,0.069167,0.970240,0.180565,0.929300,0.029424,901.0805
128,0.066191,0.971980,0.128568,0.946600,0.028711,907.7445
129,0.063886,0.972680,0.163342,0.932600,0.028003,907.2268
130,0.063525,0.973080,0.139353,0.942300,0.027300,830.0958
131,0.063622,0.972820,0.167819,0.929900,0.026604,847.3637
132,0.063667,0.973100,0.161664,0.934300,0.025912,843.4583
133,0.062101,0.973220,0.148771,0.940400,0.025227,841.1280
134,0.061519,0.973500,0.139570,0.942300,0.024548,843.4957
135,0.057277,0.975480,0.125760,0.947100,0.023875,843.0840
136,0.057427,0.975600,0.146627,0.937900,0.023209,844.3434
137,0.055060,0.977200,0.159438,0.936500,0.022549,844.8952
138,0.053430,0.977380,0.142490,0.941600,0.021896,843.9400
139,0.051920,0.978320,0.135391,0.948000,0.021250,845.2469
140,0.052410,0.977740,0.146090,0.939800,0.020611,845.9467
141,0.053253,0.977520,0.148015,0.938000,0.019979,845.6729
142,0.049537,0.979340,0.130226,0.945300,0.019355,846.0015
143,0.047567,0.979360,0.126714,0.950200,0.018738,846.0366
144,0.045547,0.980700,0.123176,0.951000,0.018129,846.9776
145,0.045028,0.980660,0.125309,0.948900,0.017528,845.6612
