Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
0,3.316481,0.086920,3.132209,0.125500,0.100000,456.2708
1,2.694786,0.207140,3.449331,0.176500,0.099994,467.2921
2,2.277064,0.305260,2.243286,0.327500,0.099975,466.6805
3,1.992006,0.381760,2.340397,0.314400,0.099944,468.3258
4,1.792038,0.440140,2.155145,0.373900,0.099901,452.7293
5,1.636636,0.483640,1.881423,0.433200,0.099846,454.2494
6,1.512022,0.519420,1.814955,0.449800,0.099778,454.0796
7,1.421800,0.548980,1.721318,0.476900,0.099698,453.9773
8,1.339730,0.571120,1.466119,0.538300,0.099606,453.7592
9,1.273814,0.593120,1.554514,0.508700,0.099501,453.7417
10,1.215938,0.610440,1.572991,0.515600,0.099384,453.8722
11,1.166341,0.626080,1.385078,0.558200,0.099255,454.2186
12,1.111556,0.641900,1.345220,0.577300,0.099114,453.4453
13,1.078519,0.650200,1.439257,0.554400,0.098961,453.5147
14,1.041170,0.662680,1.517387,0.538800,0.098796,453.2073
15,1.014631,0.670500,1.481487,0.546700,0.098618,452.6663
16,0.976805,0.681020,1.384843,0.570000,0.098429,452.8797
17,0.949159,0.691720,1.383119,0.572600,0.098228,453.0825
18,0.944464,0.693940,1.324082,0.593900,0.098015,451.8559
19,0.917989,0.703300,1.207707,0.624100,0.097790,451.9841
20,0.897244,0.708340,1.251400,0.611400,0.097553,452.1067
21,0.871335,0.717600,1.455081,0.560400,0.097304,452.5039
22,0.856522,0.723920,1.530514,0.556300,0.097044,453.6595
23,0.839091,0.726600,1.335437,0.588900,0.096772,452.5122
24,0.837181,0.728760,1.256175,0.605600,0.096489,452.1517
25,0.808869,0.738020,1.460282,0.553800,0.096194,452.3784
26,0.789166,0.743960,1.233630,0.621900,0.095888,452.3903
27,0.785516,0.745600,1.319650,0.589600,0.095570,453.0775
28,0.765187,0.752380,1.172981,0.633800,0.095241,452.9342
29,0.759304,0.753040,1.266938,0.625300,0.094901,452.2287
30,0.749320,0.759000,1.173946,0.636200,0.094550,452.3638
31,0.729412,0.763560,1.191131,0.629600,0.094188,451.5939
32,0.725113,0.765340,1.192013,0.632500,0.093815,451.3526
33,0.706859,0.768800,1.361893,0.601400,0.093432,452.6390
34,0.701513,0.772300,1.373182,0.589900,0.093037,452.9122
35,0.694511,0.774880,1.312825,0.614100,0.092632,453.0325
36,0.679682,0.780000,1.272029,0.620000,0.092216,452.2181
37,0.668698,0.783380,1.180108,0.638500,0.091790,452.4847
38,0.658966,0.786320,1.236569,0.627300,0.091354,451.6282
39,0.651516,0.788560,1.256557,0.609400,0.090907,451.8073
40,0.648036,0.789480,1.188343,0.637000,0.090451,451.5297
41,0.639230,0.792320,1.064735,0.671400,0.089984,451.6588
42,0.631871,0.795000,1.239712,0.621800,0.089508,451.6661
43,0.622844,0.798080,1.319434,0.614400,0.089022,451.7513
44,0.617406,0.801060,1.473141,0.579600,0.088526,413.0295
45,0.612769,0.801140,1.230414,0.621700,0.088020,414.0813
46,0.596198,0.806600,1.224576,0.646200,0.087506,414.2072
47,0.601058,0.804700,1.279572,0.618800,0.086982,413.7048
48,0.588060,0.810820,1.203568,0.637700,0.086448,414.2515
49,0.587029,0.810480,1.253820,0.623200,0.085906,414.0165
50,0.580963,0.812140,1.139648,0.652500,0.085355,414.5028
51,0.565801,0.816640,1.118416,0.661500,0.084796,413.9247
52,0.561919,0.817200,1.518737,0.557000,0.084227,413.6094
53,0.556219,0.820800,1.141986,0.664100,0.083651,414.4977
54,0.550839,0.823080,1.164171,0.659500,0.083066,413.2580
55,0.551156,0.822660,1.189744,0.654400,0.082472,414.4452
56,0.542592,0.824480,1.209045,0.642100,0.081871,414.0445
57,0.536952,0.826420,1.288940,0.627900,0.081262,414.0312
58,0.531805,0.826680,1.087665,0.677600,0.080645,414.2707
59,0.515298,0.836140,1.271725,0.644500,0.080021,413.9653
60,0.517271,0.834140,1.149497,0.654700,0.079389,413.8948
61,0.512562,0.836940,1.070302,0.671400,0.078750,413.8316
62,0.506351,0.837920,1.165968,0.659400,0.078104,414.1003
