Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
95,0.120233,0.946920,0.246020,0.895600,0.053923,438.7201
96,0.114758,0.950680,0.200955,0.918100,0.053140,438.8277
96,0.114758,0.950680,0.200955,0.918100,0.053140,434.3650
97,0.117968,0.947760,0.174253,0.925500,0.052355,449.3547
98,0.113579,0.951040,0.186414,0.925300,0.051571,449.8322
99,0.107644,0.953520,0.222997,0.908100,0.050785,449.5162
100,0.110104,0.952940,0.190351,0.920500,0.050000,449.2715
101,0.108074,0.952760,0.163548,0.933300,0.049215,448.8187
102,0.107686,0.953640,0.210267,0.910600,0.048429,449.7176
103,0.107876,0.953340,0.191382,0.919600,0.047645,448.9749
104,0.104939,0.954700,0.186794,0.921700,0.046860,449.8545
105,0.103726,0.955700,0.323998,0.870600,0.046077,449.3631
106,0.101048,0.956140,0.218459,0.908800,0.045295,449.5329
107,0.101547,0.955780,0.191256,0.920900,0.044513,449.8545
108,0.100363,0.956060,0.235811,0.902900,0.043733,449.6634
109,0.099044,0.957780,0.194857,0.919400,0.042955,449.7209
110,0.098095,0.957700,0.191294,0.921500,0.042178,450.2193
111,0.094953,0.959300,0.192718,0.920400,0.041404,450.1587
112,0.094615,0.959660,0.180248,0.923800,0.040631,449.6721
113,0.091660,0.961200,0.183240,0.925400,0.039861,450.0257
114,0.091284,0.960340,0.163020,0.933900,0.039093,450.1440
115,0.090557,0.960440,0.176877,0.929200,0.038328,448.4848
116,0.088577,0.962100,0.175069,0.926900,0.037566,449.0371
117,0.086768,0.963040,0.178743,0.923000,0.036806,450.4091
118,0.086709,0.961780,0.189602,0.923100,0.036050,449.2162
119,0.085119,0.963260,0.156915,0.934600,0.035298,449.9165
0,1.203664,0.421840,1.218878,0.497700,0.100000,439.1354
74,0.147124,0.936700,0.190765,0.918100,0.069857,470.2768
75,0.146784,0.936960,0.370802,0.850400,0.069134,479.1484
76,0.144777,0.937640,0.218832,0.907100,0.068406,462.3710
76,0.144777,0.937640,0.218832,0.907100,0.068406,443.9944
77,0.143766,0.938200,0.240343,0.899600,0.067674,444.3424
78,0.143251,0.937600,0.253486,0.894500,0.066937,444.7940
79,0.141130,0.938480,0.211260,0.908200,0.066196,444.8074
80,0.140098,0.939300,0.233930,0.898400,0.065451,444.4145
81,0.136707,0.940800,0.183251,0.923800,0.064702,406.5133
81,0.136707,0.940800,0.183251,0.923800,0.064702,429.7709
82,0.136456,0.940480,0.251277,0.894900,0.063950,433.4626
83,0.132508,0.942360,0.229823,0.904100,0.063194,433.7549
84,0.133765,0.942060,0.279438,0.882400,0.062434,434.1435
85,0.132829,0.942240,0.235562,0.900100,0.061672,433.3361
86,0.131489,0.942420,0.228178,0.903800,0.060907,433.9263
87,0.130636,0.943460,0.257778,0.889500,0.060139,433.4823
88,0.128821,0.943880,0.235213,0.903300,0.059369,434.0673
89,0.123952,0.945920,0.170486,0.930600,0.058596,433.7593
90,0.126728,0.945600,0.253136,0.895300,0.057822,434.8845
91,0.120038,0.948500,0.195054,0.913800,0.057045,434.5396
92,0.122915,0.946360,0.225382,0.909200,0.056267,433.7916
93,0.125280,0.945520,0.267168,0.888200,0.055487,434.0081
94,0.121309,0.947820,0.171326,0.927400,0.054705,434.4193
95,0.120233,0.946920,0.246020,0.895600,0.053923,433.6965
96,0.114758,0.950680,0.200955,0.918100,0.053140,433.8755
97,0.117968,0.947760,0.174253,0.925500,0.052355,433.7476
98,0.113579,0.951040,0.186414,0.925300,0.051571,433.5182
99,0.107644,0.953520,0.222997,0.908100,0.050785,433.7182
100,0.110104,0.952940,0.190351,0.920500,0.050000,433.4714
101,0.108074,0.952760,0.163548,0.933300,0.049215,433.6863
102,0.107686,0.953640,0.210267,0.910600,0.048429,434.1648
103,0.107876,0.953340,0.191382,0.919600,0.047645,434.0912
104,0.104939,0.954700,0.186794,0.921700,0.046860,433.8714
105,0.103726,0.955700,0.323998,0.870600,0.046077,433.8988
106,0.101048,0.956140,0.218459,0.908800,0.045295,434.1857
107,0.101547,0.955780,0.191256,0.920900,0.044513,434.1616
108,0.100363,0.956060,0.235811,0.902900,0.043733,434.1730
109,0.099044,0.957780,0.194857,0.919400,0.042955,433.7729
110,0.098095,0.957700,0.191294,0.921500,0.042178,433.4647
111,0.094953,0.959300,0.192718,0.920400,0.041404,433.9256
112,0.094615,0.959660,0.180248,0.923800,0.040631,434.3300
113,0.091660,0.961200,0.183240,0.925400,0.039861,433.6163
114,0.091284,0.960340,0.163020,0.933900,0.039093,436.8084
115,0.090557,0.960440,0.176877,0.929200,0.038328,437.1549
116,0.088577,0.962100,0.175069,0.926900,0.037566,436.9895
117,0.086768,0.963040,0.178743,0.923000,0.036806,437.3841
117,0.086768,0.963040,0.178743,0.923000,0.036806,485.0896
118,0.086709,0.961780,0.189602,0.923100,0.036050,416.6101
119,0.085119,0.963260,0.156915,0.934600,0.035298,418.1346
120,0.085243,0.962960,0.159742,0.935800,0.034549,417.5916
121,0.079040,0.965900,0.195975,0.917900,0.033804,418.0757
122,0.079933,0.965820,0.162377,0.934100,0.033063,417.5587
123,0.077385,0.967080,0.168757,0.932700,0.032326,418.1880
124,0.076518,0.967480,0.173360,0.930000,0.031594,417.3509
125,0.076175,0.967120,0.153504,0.937800,0.030866,417.5541
126,0.074900,0.967660,0.177452,0.928500,0.030143,417.2532
127,0.072766,0.968920,0.157989,0.936000,0.029424,417.4150
128,0.066560,0.971820,0.177951,0.929200,0.028711,464.2418
129,0.069299,0.970960,0.177639,0.925500,0.028003,466.7691
130,0.068810,0.970300,0.154845,0.935200,0.027300,465.8994
131,0.066609,0.971260,0.151608,0.937900,0.026604,466.3549
132,0.066982,0.971620,0.141708,0.943300,0.025912,465.5507
133,0.063711,0.973060,0.169520,0.931800,0.025227,466.4562
134,0.062346,0.973840,0.160998,0.935100,0.024548,466.6249
